"year","multyear","sample","serial","cbserial","numprec","hhwt","cluster","stateicp","puma","city","strata","gq","gqtype","gqtyped","ownershp","ownershpd","mortgage","owncost","rentgrs","hhincome","valueh","rooms","unitsstr","pernum","perwt","famsize","age","race","raced","hispan","hispand","ancestr1","ancestr1d","citizen","speakeng","tribe","tribed","hcovany","school","educ","educd","gradeatt","gradeattd","schltype","empstat","empstatd","labforce","occ","ind","poverty","stateicp_f","puma_f","city_f","strata_f","gq_f","gqtype_f","gqtyped_f","ownershp_f","ownershpd_f","mortgage_f","owncost_f","rentgrs_f","hhincome_f","valueh_f","rooms_f","unitsstr_f","pernum_f","perwt_f","famsize_f","age_f","race_f","raced_f","hispan_f","hispand_f","ancestr1_f","ancestr1d_f","citizen_f","speakeng_f","tribe_f","tribed_f","hcovany_f","school_f","educ_f","educd_f","gradeatt_f","gradeattd_f","schltype_f","empstat_f","empstatd_f","labforce_f","occ_f","ind_f","poverty_f"
2012,2008,201205,1921564,2008000014271,3,17,2012019215645,21,3507,1190,350717,1,0,0,2,22,0,99999,1046,57726,9999999,5,6,2,14,3,58,2,200,0,0,902,9020,0,3,0,0,2,1,6,63,0,0,1,1,10,2,9620,7790,318,"Illinois","3507","Chicago, IL","350717","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1046","57726","N/A","5","3-4 family building","2","14","3","58","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","9620","7790","318"
2012,2008,201205,1921564,2008000014271,3,17,2012019215645,21,3507,1190,350717,1,0,0,2,22,0,99999,1046,57726,9999999,5,6,3,14,3,13,2,200,0,0,902,9020,0,3,0,0,2,2,2,23,4,43,2,0,0,0,0,0,318,"Illinois","3507","Chicago, IL","350717","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1046","57726","N/A","5","3-4 family building","3","14","3","13","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","Grade 5, 6, 7, or 8","Grade 6","Grade 5 to grade 8","Grade 7","Public school","N/A","N/A","N/A","","","318"
2012,2008,201205,1921571,2008000014371,1,14,2012019215715,21,3507,1190,350717,3,1,100,0,0,0,99999,0,9999999,9999999,0,0,1,14,1,60,1,100,0,0,88,880,0,3,0,0,2,1,6,63,0,0,1,3,30,1,0,0,0,"Illinois","3507","Chicago, IL","350717","Group quarters--Institutions","Institution (1990, 2000, ACS/PRCS)","Institution (1990, 2000, ACS/PRCS)","N/A","N/A","N/A","Not in universe","N/A","N/A ","N/A","N/A","N/A","1","14","1 family member present","60","White","White","Not Hispanic","Not Hispanic","Scottish","Scottish","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","N/A "
2012,2008,201205,1921576,2008000014540,2,26,2012019215765,21,3511,1190,351117,1,0,0,2,22,0,99999,1174,18780,9999999,4,6,1,26,2,58,1,100,0,0,46,460,0,4,0,0,2,1,7,71,0,0,1,3,30,1,0,0,124,"Illinois","3511","Chicago, IL","351117","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1174","18780","N/A","4","3-4 family building","1","26","2 family members present","58","White","White","Not Hispanic","Not Hispanic","Greek","Greek","N/A","Yes, speaks very well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","1 year of college","1 or more years of college credit, no degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","124"
2012,2008,201205,1921576,2008000014540,2,26,2012019215765,21,3511,1190,351117,1,0,0,2,22,0,99999,1174,18780,9999999,4,6,2,21,2,66,1,100,0,0,46,460,0,4,0,0,2,1,6,63,0,0,1,3,30,1,0,0,124,"Illinois","3511","Chicago, IL","351117","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1174","18780","N/A","4","3-4 family building","2","21","2 family members present","66","White","White","Not Hispanic","Not Hispanic","Greek","Greek","N/A","Yes, speaks very well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","124"
2012,2008,201205,1921578,2008000014653,2,27,2012019215785,21,3503,1190,350317,1,0,0,2,22,0,99999,768,43748,9999999,2,9,1,27,2,57,7,700,4,424,235,2350,2,6,0,0,2,1,6,65,0,0,1,1,10,2,4220,8680,290,"Illinois","3503","Chicago, IL","350317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","768","43748","N/A","2","20-49 family building","1","27","2 family members present","57","Other race, nec","Other race, n.e.c.","Other","Ecuadorian","Ecuadorian","Ecuadorian","Naturalized citizen","Yes, but not well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Some college, but less than 1 year","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","4220","8680","290"
2012,2008,201205,1921578,2008000014653,2,27,2012019215785,21,3503,1190,350317,1,0,0,2,22,0,99999,768,43748,9999999,2,9,2,21,2,55,7,700,4,424,235,2350,2,6,0,0,2,1,6,64,0,0,1,1,10,2,9610,7690,290,"Illinois","3503","Chicago, IL","350317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","768","43748","N/A","2","20-49 family building","2","21","2 family members present","55","Other race, nec","Other race, n.e.c.","Other","Ecuadorian","Ecuadorian","Ecuadorian","Naturalized citizen","Yes, but not well","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","GED or alternative credential","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","9610","7690","290"
2012,2008,201205,1921581,2008000014791,1,15,2012019215815,21,3507,1190,350717,1,0,0,2,22,0,99999,1088,21127,9999999,5,8,1,15,1,43,2,200,0,0,902,9020,0,3,0,0,2,1,7,71,0,0,1,1,10,2,4710,4270,180,"Illinois","3507","Chicago, IL","350717","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1088","21127","N/A","5","10-19 family building","1","15","1 family member present","43","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","1 year of college","1 or more years of college credit, no degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","4710","4270","180"
2012,2008,201205,1921585,2008000014878,2,14,2012019215855,21,3519,1190,351917,1,0,0,1,13,3,3177,0,113745,320000,6,6,1,14,1,42,2,200,0,0,902,9020,0,3,0,0,1,1,7,71,0,0,1,3,30,1,4920,7070,360,"Illinois","3519","Chicago, IL","351917","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","3177","N/A","113745","320000","6","3-4 family building","1","14","1 family member present","42","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","1 year of college","1 or more years of college credit, no degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","4920","7070","360"
2012,2008,201205,1921585,2008000014878,2,14,2012019215855,21,3519,1190,351917,1,0,0,1,13,3,3177,0,113745,320000,6,6,2,20,1,43,2,200,0,0,902,9020,0,3,0,0,2,1,6,63,0,0,1,1,10,2,5700,9480,501,"Illinois","3519","Chicago, IL","351917","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","3177","N/A","113745","320000","6","3-4 family building","2","20","1 family member present","43","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","5700","9480","501 percent or more of poverty threshold"
2012,2008,201205,1921591,2008000014966,4,17,2012019215915,21,3506,1190,350617,1,0,0,1,13,3,757,0,16944,42000,5,3,1,17,4,51,8,826,1,100,210,2101,2,5,0,0,1,1,1,15,0,0,1,1,10,2,6220,770,74,"Illinois","3506","Chicago, IL","350617","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","757","N/A","16944","42000","5","1-family house, detached","1","17","4","51","Two major races","White and other race write_in","Mexican","Mexican","Mexican","Mexican (1990-2000, ACS, PRCS)","Naturalized citizen","Yes, speaks well","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","Nursery school to grade 4","Grade 2","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","6220","770","74"
2012,2008,201205,1921591,2008000014966,4,17,2012019215915,21,3506,1190,350617,1,0,0,1,13,3,757,0,16944,42000,5,3,2,15,4,49,8,826,1,100,210,2101,3,1,0,0,1,1,2,22,0,0,1,3,30,1,0,0,74,"Illinois","3506","Chicago, IL","350617","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","757","N/A","16944","42000","5","1-family house, detached","2","15","4","49","Two major races","White and other race write_in","Mexican","Mexican","Mexican","Mexican (1990-2000, ACS, PRCS)","Not a citizen","Does not speak English","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","Grade 5, 6, 7, or 8","Grade 5","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","74"
2012,2008,201205,1921591,2008000014966,4,17,2012019215915,21,3506,1190,350617,1,0,0,1,13,3,757,0,16944,42000,5,3,3,15,4,16,8,826,1,100,210,2101,3,4,0,0,1,2,4,40,5,52,2,1,10,2,9620,6390,74,"Illinois","3506","Chicago, IL","350617","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","757","N/A","16944","42000","5","1-family house, detached","3","15","4","16","Two major races","White and other race write_in","Mexican","Mexican","Mexican","Mexican (1990-2000, ACS, PRCS)","Not a citizen","Yes, speaks very well","Not applicable or blank","Not applicable or blank","No health insurance coverage","Yes, in school","Grade 10","Grade 10","Grade 9 to grade 12","Grade 10","Public school","Employed","At work","Yes, in the labor force","9620","6390","74"
2012,2008,201205,1921591,2008000014966,4,17,2012019215915,21,3506,1190,350617,1,0,0,1,13,3,757,0,16944,42000,5,3,4,14,4,10,8,826,1,100,210,2101,3,5,0,0,1,2,1,17,3,34,2,0,0,0,0,0,74,"Illinois","3506","Chicago, IL","350617","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","757","N/A","16944","42000","5","1-family house, detached","4","14","4","10","Two major races","White and other race write_in","Mexican","Mexican","Mexican","Mexican (1990-2000, ACS, PRCS)","Not a citizen","Yes, speaks well","Not applicable or blank","Not applicable or blank","No health insurance coverage","Yes, in school","Nursery school to grade 4","Grade 4","Grade 1 to grade 4","Grade 4","Public school","N/A","N/A","N/A","","","74"
2012,2008,201205,1921593,2008000015080,1,35,2012019215935,21,3513,1190,351317,1,0,0,2,22,0,99999,822,8963,9999999,4,5,1,35,1,57,1,100,0,0,142,1420,0,3,0,0,2,1,10,101,0,0,1,1,10,2,1810,7490,76,"Illinois","3513","Chicago, IL","351317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","822","8963","N/A","4","2-family building","1","35","1 family member present","57","White","White","Not Hispanic","Not Hispanic","Polish","Polish","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","1810","7490","76"
2012,2008,201205,1921598,2008000015350,1,13,2012019215985,21,3518,1190,351817,1,0,0,1,12,1,734,0,21340,90000,7,3,1,13,1,78,2,200,0,0,599,5990,0,3,0,0,2,1,7,71,0,0,1,3,30,1,0,0,197,"Illinois","3518","Chicago, IL","351817","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","734","N/A","21340","90000","7","1-family house, detached","1","13","1 family member present","78","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African","African","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","1 year of college","1 or more years of college credit, no degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","197"
2012,2008,201205,1921601,2008000015415,1,67,2012019216015,21,3513,1190,351317,1,0,0,1,12,1,439,0,10884,150000,3,7,1,67,1,66,1,100,0,0,142,1420,0,3,0,0,2,1,6,63,0,0,1,3,30,1,0,0,101,"Illinois","3513","Chicago, IL","351317","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","439","N/A","10884","150000","3","5-9 family building","1","67","1 family member present","66","White","White","Not Hispanic","Not Hispanic","Polish","Polish","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","101"
2012,2008,201205,1921612,2008000015883,1,12,2012019216125,21,3510,1190,351017,1,0,0,2,22,0,99999,1314,42681,9999999,3,10,1,13,1,26,1,100,0,0,924,9241,0,3,0,0,2,1,10,101,0,0,1,1,10,2,2820,7470,364,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Rented","With cash rent","N/A","Not in universe","1314","42681","N/A","3","50+ family building","1","13","1 family member present","26","White","White","Not Hispanic","Not Hispanic","White/Caucasian","White/Caucasian (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","2820","7470","364"
2012,2008,201205,1921619,2008000016234,3,19,2012019216195,21,3501,1190,350117,1,0,0,1,13,3,1993,0,158987,240000,3,7,1,19,3,34,1,100,0,0,187,1870,0,3,0,0,2,1,10,101,0,0,1,1,10,2,5240,7490,501,"Illinois","3501","Chicago, IL","350117","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1993","N/A","158987","240000","3","5-9 family building","1","19","3","34","White","White","Not Hispanic","Not Hispanic","Western European, nec","Western European, nec","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","5240","7490","501 percent or more of poverty threshold"
2012,2008,201205,1921619,2008000016234,3,19,2012019216195,21,3501,1190,350117,1,0,0,1,13,3,1993,0,158987,240000,3,7,2,29,3,35,2,200,0,0,337,3370,0,3,0,0,2,1,11,115,0,0,1,1,10,2,2100,9470,501,"Illinois","3501","Chicago, IL","350117","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1993","N/A","158987","240000","3","5-9 family building","2","29","3","35","Black/African American","Black/African American","Not Hispanic","Not Hispanic","Other West Indian","Other West Indian","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","5+ years of college","Professional degree beyond a bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","2100","9470","501 percent or more of poverty threshold"
2012,2008,201205,1921619,2008000016234,3,19,2012019216195,21,3501,1190,350117,1,0,0,1,13,3,1993,0,158987,240000,3,7,3,36,3,0,8,801,0,0,187,1870,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,501,"Illinois","3501","Chicago, IL","350117","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1993","N/A","158987","240000","3","5-9 family building","3","36","3","Less than 1 year old","Two major races","White and Black","Not Hispanic","Not Hispanic","Western European, nec","Western European, nec","N/A","N/A (Blank)","Not applicable or blank","Not applicable or blank","With health insurance coverage","N/A","N/A or no schooling","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","501 percent or more of poverty threshold"
2012,2008,201205,1921623,2008000016417,2,24,2012019216235,21,3505,1190,350517,1,0,0,1,12,1,1343,0,72558,800000,20,5,1,24,2,70,1,100,0,0,148,1480,0,3,0,0,2,1,11,114,0,0,1,3,30,1,0,0,501,"Illinois","3505","Chicago, IL","350517","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","1343","N/A","72558","800000","20","2-family building","1","24","2 family members present","70","White","White","Not Hispanic","Not Hispanic","Russian","Russian","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","5+ years of college","Master's degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","501 percent or more of poverty threshold"
2012,2008,201205,1921623,2008000016417,2,24,2012019216235,21,3505,1190,350517,1,0,0,1,12,1,1343,0,72558,800000,20,5,2,22,2,71,1,100,0,0,51,511,3,3,0,0,2,1,10,101,0,0,1,3,30,1,4920,7070,501,"Illinois","3505","Chicago, IL","350517","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","1343","N/A","72558","800000","20","2-family building","2","22","2 family members present","71","White","White","Not Hispanic","Not Hispanic","Italian","Italian (1990-2000, ACS, PRCS)","Not a citizen","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","4920","7070","501 percent or more of poverty threshold"
2012,2008,201205,1921624,2008000016444,2,21,2012019216245,21,3505,1190,350517,1,0,0,1,12,1,607,0,38413,200000,7,3,1,20,2,57,1,100,0,0,46,460,0,3,0,0,2,1,8,81,0,0,1,3,30,1,3850,9470,254,"Illinois","3505","Chicago, IL","350517","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","607","N/A","38413","$200,000+","7","1-family house, detached","1","20","2 family members present","57","White","White","Not Hispanic","Not Hispanic","Greek","Greek","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","2 years of college","Associate's degree, type not specified","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","3850","9470","254"
2012,2008,201205,1921624,2008000016444,2,21,2012019216245,21,3505,1190,350517,1,0,0,1,12,1,607,0,38413,200000,7,3,2,20,2,56,1,100,0,0,32,321,0,3,0,0,2,1,10,101,0,0,1,3,30,1,2310,7860,254,"Illinois","3505","Chicago, IL","350517","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","607","N/A","38413","$200,000+","7","1-family house, detached","2","20","2 family members present","56","White","White","Not Hispanic","Not Hispanic","German","German (1990-2000, ACS/PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","2310","7860","254"
2012,2008,201205,1921643,2008000017027,2,30,2012019216435,21,3515,1190,351517,1,0,0,1,13,3,1198,0,65942,180000,6,5,1,30,2,76,2,200,0,0,902,9020,0,3,0,0,2,1,7,71,0,0,1,3,30,1,0,0,484,"Illinois","3515","Chicago, IL","351517","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1198","N/A","65942","180000","6","2-family building","1","30","2 family members present","76","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","1 year of college","1 or more years of college credit, no degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","484"
2012,2008,201205,1921643,2008000017027,2,30,2012019216435,21,3515,1190,351517,1,0,0,1,13,3,1198,0,65942,180000,6,5,2,48,2,49,2,200,0,0,902,9020,0,3,0,0,1,1,10,101,0,0,1,1,10,2,2000,8090,484,"Illinois","3515","Chicago, IL","351517","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1198","N/A","65942","180000","6","2-family building","2","48","2 family members present","49","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","2000","8090","484"
2012,2008,201205,1921645,2008000017037,2,14,2012019216455,21,3510,1190,351017,1,0,0,1,12,1,946,0,110437,320000,3,10,1,14,2,27,1,100,0,0,68,680,0,3,0,0,2,2,11,114,7,70,3,1,10,2,1110,3370,501,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","946","N/A","110437","320000","3","50+ family building","1","14","2 family members present","27","White","White","Not Hispanic","Not Hispanic","Sicilian","Sicilian","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","5+ years of college","Master's degree","Graduate or professional school","Graduate or professional school","Private school (1960,1990-2000,ACS,PRCS)","Employed","At work","Yes, in the labor force","1110","3370","501 percent or more of poverty threshold"
2012,2008,201205,1921645,2008000017037,2,14,2012019216455,21,3510,1190,351017,1,0,0,1,12,1,946,0,110437,320000,3,10,2,20,2,29,6,600,0,0,720,7200,3,4,0,0,2,2,11,114,7,70,3,3,30,1,2200,7870,501,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","946","N/A","110437","320000","3","50+ family building","2","20","2 family members present","29","Other Asian or Pacific Islander","Filipino","Not Hispanic","Not Hispanic","Filipino","Filipino","Not a citizen","Yes, speaks very well","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","5+ years of college","Master's degree","Graduate or professional school","Graduate or professional school","Private school (1960,1990-2000,ACS,PRCS)","Not in labor force","Not in Labor Force","No, not in the labor force","2200","7870","501 percent or more of poverty threshold"
2012,2008,201205,1921682,2008000017860,6,13,2012019216825,21,3519,1190,351917,1,0,0,1,13,3,1936,0,150664,230000,10,3,1,12,6,52,2,200,0,0,902,9020,0,3,0,0,2,1,10,101,0,0,1,1,10,2,3850,9470,485,"Illinois","3519","Chicago, IL","351917","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1936","N/A","150664","230000","10","1-family house, detached","1","12","6","52","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","3850","9470","485"
2012,2008,201205,1921682,2008000017860,6,13,2012019216825,21,3519,1190,351917,1,0,0,1,13,3,1936,0,150664,230000,10,3,2,17,6,48,2,200,0,0,902,9020,0,3,0,0,2,1,10,101,0,0,1,1,10,2,2750,8560,485,"Illinois","3519","Chicago, IL","351917","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1936","N/A","150664","230000","10","1-family house, detached","2","17","6","48","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","2750","8560","485"
2012,2008,201205,1921682,2008000017860,6,13,2012019216825,21,3519,1190,351917,1,0,0,1,13,3,1936,0,150664,230000,10,3,3,15,6,15,2,200,0,0,902,9020,0,3,0,0,2,2,3,30,5,52,2,0,0,0,0,0,485,"Illinois","3519","Chicago, IL","351917","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1936","N/A","150664","230000","10","1-family house, detached","3","15","6","15","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","Grade 9","Grade 9","Grade 9 to grade 12","Grade 10","Public school","N/A","N/A","N/A","","","485"
2012,2008,201205,1921682,2008000017860,6,13,2012019216825,21,3519,1190,351917,1,0,0,1,13,3,1936,0,150664,230000,10,3,4,15,6,13,2,200,0,0,902,9020,0,3,0,0,2,2,2,25,4,44,2,0,0,0,0,0,485,"Illinois","3519","Chicago, IL","351917","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1936","N/A","150664","230000","10","1-family house, detached","4","15","6","13","Black/African American","Black/African American","Not Hispanic","Not Hispanic","African-American","African-American (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","Grade 5, 6, 7, or 8","Grade 7","Grade 5 to grade 8","Grade 8","Public school","N/A","N/A","N/A","","","485"
